index,sinewave
16.55,-0.7460010175
16.6,-0.7783520785
16.65,-0.8087576648
16.7,-0.837141778
16.75,-0.8634334728
16.8,-0.8875670336
16.85,-0.909482139
16.9,-0.9291240127
16.95,-0.9464435603
17,-0.9613974919
17.05,-0.9739484304
17.1,-0.9840650051
17.15,-0.9917219297
17.2,-0.996900066
17.25,-0.9995864714
17.3,-0.9997744311
17.35,-0.9974634754
17.4,-0.9926593805
17.45,-0.9853741541
17.5,-0.9756260055
17.55,-0.9634392999
17.6,-0.9488444979
17.65,-0.9318780788
17.7,-0.9125824498
17.75,-0.8910058399
17.8,-0.8672021795
17.85,-0.8412309652
17.9,-0.8131571117
17.95,-0.7830507888
18,-0.7509872468
18.05,-0.7170466277
18.1,-0.6813137656
18.15,-0.6438779738
18.2,-0.6048328224
18.25,-0.564275904
18.3,-0.5223085896
18.35,-0.4790357758
18.4,-0.4345656221
18.45,-0.3890092806
18.5,-0.3424806185
18.55,-0.2950959332
18.6,-0.2469736617
18.65,-0.1982340848
18.7,-0.1489990258
18.75,-0.0993915469
18.8,-0.0495356409
18.85,0.0004440784
18.9,0.0504226878
18.95,0.1002752667
19,0.1498772097
19.05,0.1991045376
19.1,0.247834208
19.15,0.2959444219
19.2,0.3433149288
19.25,0.3898273272
19.3,0.4353653604
19.35,0.4798152068
19.4,0.5230657652
19.45,0.5650089315
19.5,0.6055398697
19.55,0.6445572736
19.6,0.6819636201
19.65,0.7176654126
19.7,0.7515734154
19.75,0.783602876
19.8,0.8136737375
19.85,0.8417108384
19.9,0.8676441006
19.95,0.8914087044
20,0.9129452507
20.05,0.9321999093
20.1,0.9491245536
20.15,0.9636768809
20.2,0.9758205178
20.25,0.9855251116
20.3,0.9927664058
20.35,0.9975263011
20.4,0.9997929001
20.45,0.9995605376
20.5,0.9968297943
20.55,0.9916074956
20.6,0.9839066946
20.65,0.9737466393
20.7,0.9611527245
20.75,0.9461564285
20.8,0.9287952341
20.85,0.9091125353
20.9,0.8871575287
20.95,0.8629850903
21,0.8366556385
21.05,0.8082349834
21.1,0.7777941618
21.15,0.7454092598
21.2,0.7111612229
21.25,0.6751356533
21.3,0.6374225962
21.35,0.5981163145
21.4,0.5573150535
21.45,0.5151207952
21.5,0.4716390031
21.55,0.4269783591
21.6,0.3812504917
21.65,0.3345696965
21.7,0.2870526513
21.75,0.238818124
21.8,0.1899866758
21.85,0.1406803598
21.9,0.0910224162
21.95,0.0411369639
22,-0.0088513093
22.05,-0.0588174589
22.1,-0.1086365954
22.15,-0.1581841971
22.2,-0.2073364206
22.25,-0.2559704111
22.3,-0.3039646088
22.35,-0.3511990533
22.4,-0.3975556831
22.45,-0.4429186307
22.5,-0.4871745125
22.55,-0.5302127116
22.6,-0.5719256551
22.65,-0.6122090823
22.7,-0.6509623057
22.75,-0.6880884623
22.8,-0.723494756
22.85,-0.7570926897
22.9,-0.788798286
22.95,-0.8185322973
23,-0.8462204042
23.05,-0.8717934007
23.1,-0.8951873678
23.15,-0.9163438327
23.2,-0.9352099152
23.25,-0.95173846
23.3,-0.9658881542
23.35,-0.9776236311
23.4,-0.9869155581
23.45,-0.9937407102
23.5,-0.998082028
23.55,-0.9999286605
23.6,-0.9992759921
23.65,-0.9961256542
23.7,-0.9904855209
23.75,-0.9823696896
23.8,-0.9717984457
23.85,-0.9587982118
23.9,-0.9434014818
23.95,-0.9256467393
24,-0.905578362
24.05,-0.8832465105
24.1,-0.8587070026
24.15,-0.8320211745
24.2,-0.8032557267
24.25,-0.7724825579
24.3,-0.7397785851
24.35,-0.705225551
24.4,-0.6689098204
24.45,-0.6309221635
24.5,-0.5913575299
24.55,-0.5503148103
24.6,-0.5078965904
24.65,-0.4642088935
24.7,-0.4193609161
24.75,-0.3734647548
24.8,-0.3266351261
24.85,-0.2789890797
24.9,-0.2306457059
24.95,-0.181725838
25,-0.1323517501
25.05,-0.0826468518
25.1,-0.0327353793
25.15,0.0172579145
25.2,0.0672080725
25.25,0.1169902454
25.3,0.1664800035
25.35,0.2155536484
25.4,0.2640885214
25.45,0.3119633106
25.5,0.359058354
25.55,0.4052559385
25.6,0.4504405943
25.65,0.4944993831
25.7,0.537322181
25.75,0.5788019533
25.8,0.6188350221
25.85,0.6573213257
25.9,0.6941646683
25.95,0.7292729607
26,0.7625584505
26.05,0.7939379413
26.1,0.8233330007
26.15,0.8506701565
26.2,0.8758810798
26.25,0.8989027566
26.3,0.9196776447
26.35,0.9381538176
26.4,0.9542850945
26.45,0.9680311557
26.5,0.9793576431
26.55,0.9882362465
26.6,0.9946447739
26.65,0.9985672074
26.7,0.9999937429
26.75,0.9989208148
26.8,0.9953511049
26.85,0.9892935356
26.9,0.9807632477
26.95,0.9697815625
27,0.9563759284
27.05,0.9405798526
27.1,0.9224328169
27.15,0.9019801796
27.2,0.8792730617
27.25,0.8543682189
27.3,0.8273279006
27.35,0.7982196934
27.4,0.7671163526
27.45,0.7340956205
27.5,0.6992400317
27.55,0.6626367069
27.6,0.6243771354
27.65,0.5845569463
27.7,0.5432756692
27.75,0.5006364859
27.8,0.4567459721
27.85,0.4117138313
27.9,0.3656526203
27.95,0.3186774681
28,0.2709057883
28.05,0.2224569851
28.1,0.1734521552
28.15,0.1240137854
28.2,0.0742654456
28.25,0.0243314809
28.3,-0.0256632999
28.35,-0.0755939357
28.4,-0.1253356261
28.45,-0.1747640427
28.5,-0.2237556402
28.55,-0.2721879651
28.6,-0.3199399619
28.65,-0.3668922754
28.7,-0.4129275492
28.75,-0.4579307193
28.8,-0.501789301
28.85,-0.5443936708
28.9,-0.58563734
28.95,-0.6254172208
29,-0.6636338842
29.05,-0.7001918086
29.1,-0.734999618
29.15,-0.7679703113
29.2,-0.7990214787
29.25,-0.8280755085
29.3,-0.8550597808
29.35,-0.8799068489
29.4,-0.9025546082
29.45,-0.922946451
29.5,-0.9410314083
29.55,-0.9567642772
29.6,-0.9701057337
29.65,-0.9810224311
29.7,-0.9894870833
29.75,-0.995478533
29.8,-0.9989818049
29.85,-0.9999881426
29.9,-0.9984950307
29.95,-0.9945062012
30,-0.9880316241
30.05,-0.9790874825
30.1,-0.9676961321
30.15,-0.9538860454
30.2,-0.9376917403
30.25,-0.9191536942
30.3,-0.8983182426
30.35,-0.8752374631
30.4,-0.8499690459
30.45,-0.8225761487
30.5,-0.7931272395
30.55,-0.7616959252
30.6,-0.7283607678
30.65,-0.6932050879
30.7,-0.6563167562
30.75,-0.6177879744
30.8,-0.5777150444
30.85,-0.5361981277
30.9,-0.493340995
30.95,-0.4492507666
31,-0.4040376453
31.05,-0.3578146403
31.1,-0.3106972851
31.15,-0.2628033484
31.2,-0.2142525403
31.25,-0.1651662124
31.3,-0.1156670549
31.35,-0.0658787901
31.4,-0.0159258626
31.45,0.0340668713
31.5,0.0839744557
31.55,0.1336721477
31.6,0.183035729
31.65,0.2319418162
31.7,0.2802681698
31.75,0.3278939988
31.8,0.3747002636
31.85,0.420569973
31.9,0.4653884764
31.95,0.5090437509
32,0.5514266812
32.05,0.592431332
32.1,0.631955213
32.15,0.6698995351
32.2,0.7061694572
32.25,0.7406743234
32.3,0.7733278896
32.35,0.8040485387
32.4,0.8327594853
32.45,0.8593889669
32.5,0.8838704235
32.55,0.9061426645
32.6,0.9261500207
32.65,0.9438424842
32.7,0.959175833
32.75,0.9721117417
32.8,0.9826178774
32.85,0.9906679801
32.9,0.9962419288
32.95,0.9993257915
33,0.9999118601
33.05,0.9979986699
33.1,0.9935910027
33.15,0.9866998754
33.2,0.9773425124
33.25,0.965542302
33.3,0.9513287388
33.35,0.9347373491
33.4,0.9158096029
33.45,0.8945928096
33.5,0.8711400002
33.55,0.8455097944
33.6,0.8177662545
33.65,0.7879787249
33.7,0.7562216588
33.75,0.7225744324
33.8,0.6871211462
33.85,0.649950415
33.9,0.6111551463
33.95,0.5708323079
34,0.5290826861
34.05,0.4860106331
34.1,0.4417238067
34.15,0.3963329007
34.2,0.349951369
34.25,0.302695141
34.3,0.2546823328
34.35,0.2060329515
34.4,0.156868595
34.45,0.1073121488
34.5,0.0574874781
34.55,0.0075191186
34.6,-0.0424680347
34.65,-0.0923490401
34.7,-0.141999221
34.75,-0.1912944777
34.8,-0.240111598
34.85,-0.2883285642
34.9,-0.3358248592
34.95,-0.382481767
35,-0.4281826695
35.05,-0.4728133383
35.1,-0.5162622201
35.15,-0.5584207151
35.2,-0.5991834492
35.25,-0.6384485367
35.3,-0.6761178354
35.35,-0.7120971916
35.4,-0.7462966756
35.45,-0.7786308067
35.5,-0.8090187662
35.55,-0.8373846002
35.6,-0.8636574087
35.65,-0.8877715235
35.7,-0.9096666718
35.75,-0.9292881272
35.8,-0.9465868463
35.85,-0.9615195912
35.9,-0.9740490379
35.95,-0.9841438692
36,-0.9917788534
36.05,-0.996934907
36.1,-0.9995991426
36.15,-0.9997649008
36.2,-0.9974317675
36.25,-0.9926055741
36.3,-0.9852983838
36.35,-0.9755284607
36.4,-0.9633202245
36.45,-0.9487041894
36.5,-0.9317168879
36.55,-0.9124007794
36.6,-0.8908041441
36.65,-0.8669809624
36.7,-0.8409907798
36.75,-0.8128985582
36.8,-0.7827745136
36.85,-0.7506939403
36.9,-0.7167370232
36.95,-0.6809886367
37,-0.6435381334
37.05,-0.6044791198
37.1,-0.5639092233
37.15,-0.5219298473
37.2,-0.4786459186
37.25,-0.4341656243
37.3,-0.3886001421
37.35,-0.3420633619
37.4,-0.2946716015
37.45,-0.2465433155
37.5,-0.1977987996
37.55,-0.1485598898
37.6,-0.0989496576
37.65,-0.0490921027
37.7,0.0008881568
37.75,0.0508661964
37.8,0.100717097
37.85,0.1503162573
37.9,0.1995397052
37.95,0.2482644078
38,0.2963685787
38.05,0.3437319825
38.1,0.3902362353
38.15,0.4357651008
38.2,0.4802047804
38.25,0.5234441982
38.3,0.5653752781
38.35,0.6058932143
38.4,0.6448967329
38.45,0.6822883456
38.5,0.7179745928
38.55,0.7518662773
38.6,0.7838786878
38.65,0.8139318098
38.7,0.8419505261
38.75,0.8678648046
38.8,0.891609873
38.85,0.9131263812
38.9,0.9323605489
38.95,0.9492643008
39,0.9637953863
39.05,0.9759174853
39.1,0.9856002988
39.15,0.9928196249
39.2,0.9975574189
39.25,0.9998018389
39.3,0.999547275
39.35,0.9967943635
39.4,0.9915499852
39.45,0.9838272483
39.5,0.9736454557
39.55,0.9610300565
39.6,0.9460125826
39.65,0.92863057
39.7,0.9089274645
39.75,0.8869525138
39.8,0.8627606437
39.85,0.8364123213
39.9,0.8079734037
39.95,0.7775149733
40,0.7451131605
40.05,0.7108489528
40.1,0.6748079929
40.15,0.6370803645
40.2,0.5977603669
40.25,0.5569462797
40.3,0.5147401169
40.35,0.4712473719
40.4,0.4265767538
40.45,0.3808399161
40.5,0.3341511768
40.55,0.2866272337
40.6,0.2383868717
40.65,0.1895506668
40.7,0.1402406838
40.75,0.0905801722
40.8,0.0406932573
40.85,-0.0092953695
40.9,-0.0592607627
40.95,-0.1090780349
41,-0.1586226688
41.05,-0.2077708287
41.1,-0.2563996696
41.15,-0.304387645
41.2,-0.3516148097
41.25,-0.3979631206
41.3,-0.4433167309
41.35,-0.4875622802
41.4,-0.5305891778
41.45,-0.5722898787
41.5,-0.612560153
41.55,-0.6512993459
41.6,-0.6884106296
41.65,-0.7238012453
41.7,-0.7573827348
41.75,-0.789071162
41.8,-0.8187873221
41.85,-0.8464569404
41.9,-0.8720108571
41.95,-0.8953852009
42,-0.9165215479
42.05,-0.9353670684
42.1,-0.9518746583
42.15,-0.9660030574
42.2,-0.9777169518
42.25,-0.9869870631
42.3,-0.9937902207
42.35,-0.9981094204
42.4,-0.9999338663
42.45,-0.9992589982
42.5,-0.9960865031
42.55,-0.9904243105
42.6,-0.9822865729
42.65,-0.9716936304
42.7,-0.95867196
42.75,-0.9432541088
42.8,-0.9254786137
42.85,-0.905389904
42.9,-0.883038191
42.95,-0.8584793425
43,-0.8317747426
43.05,-0.8029911391
43.1,-0.772200476
43.15,-0.7394797138
43.2,-0.7049106374
43.25,-0.6685796516
43.3,-0.6305775648
43.35,-0.5909993625
43.4,-0.5499439696
43.45,-0.5075140031
43.5,-0.463815516
43.55,-0.4189577316
43.6,-0.3730527711
43.65,-0.3262153729
43.7,-0.2785626062
43.75,-0.2302135781
43.8,-0.1812891359
43.85,-0.1319115652
43.9,-0.0822042844
43.95,-0.0322915357
44,0.0177019251
44.05,0.0676511403
44.1,0.1174312628
44.15,0.1669178684
44.2,0.2159872662
44.25,0.2645168083
44.3,0.3123851962
44.35,0.3594727837
44.4,0.4056618766
44.45,0.4508370259
44.5,0.4948853176
44.55,0.5376966536
44.6,0.579164028
44.65,0.619183794
44.7,0.657655923
44.75,0.6944842547
44.8,0.7295767374
44.85,0.7628456582
44.9,0.7942078622
44.95,0.8235849601
45,0.8509035245
45.05,0.8760952733
45.1,0.8990972401
45.15,0.9198519321
45.2,0.9383074733
45.25,0.9544177345
45.3,0.9681424484
45.35,0.9794473104
45.4,0.9883040642
45.45,0.9946905725
45.5,0.9985908724
45.55,0.9999952152
45.6,0.9989000907
45.65,0.9953082363
45.7,0.9892286296
45.75,0.9806764665
45.8,0.9696731229
45.85,0.9562461016
45.9,0.9404289629
45.95,0.9222612417
46,0.9017883476
46.05,0.8790614524
46.1,0.8541373613
46.15,0.8270783716
46.2,0.7979521167
46.25,0.7668313971
46.3,0.7337939984
46.35,0.6989224968
46.4,0.662304053
46.45,0.6240301939
46.5,0.5841965844
46.55,0.5429027877
46.6,0.5002520167
46.65,0.4563508762
46.7,0.4113090962
46.75,0.3652392576
46.8,0.3182565111
46.85,0.2704782891
46.9,0.2220240122
46.95,0.1730147909
47,0.1235731227
47.05,0.0738225861
47.1,0.0238875315
47.15,-0.0261072295
47.2,-0.0760367361
47.25,-0.1257761904
47.3,-0.1752012697
47.35,-0.2241884371
47.4,-0.2726152501
47.45,-0.3203606671
47.5,-0.3673053491
47.55,-0.4133319591
47.6,-0.4583254545
47.65,-0.5021733749
47.7,-0.5447661234
47.75,-0.5859972403
47.8,-0.6257636693
47.85,-0.663966015
47.9,-0.7005087915
47.95,-0.7353006607
48,-0.7682546613
48.05,-0.7992884253
48.1,-0.8283243846
48.15,-0.8552899642
48.2,-0.8801177644
48.25,-0.9027457285
48.3,-0.9231172984
48.35,-0.9411815558
48.4,-0.9568933495
48.45,-0.9702134082
48.5,-0.9811084386
48.55,-0.9895512089
48.6,-0.9955206165
48.65,-0.999001741
48.7,-0.9999858814
48.75,-0.9984705779
48.8,-0.994459618
48.85,-0.9879630269
48.9,-0.9789970428
48.95,-0.9675840759
49,-0.9537526528
49.05,-0.9375373447
49.1,-0.9189786815
49.15,-0.8981230502
49.2,-0.875022579
49.25,-0.8497350071
49.3,-0.8223235401
49.35,-0.7928566926
49.4,-0.7614081163
49.45,-0.7280564162
49.5,-0.6928849542
49.55,-0.6559816407
49.6,-0.6174387148
49.65,-0.5773525135
49.7,-0.5358232317
49.75,-0.4929546709
49.8,-0.4488539801
49.85,-0.4036313881
49.9,-0.3573999279
49.95,-0.3102751539
50,-0.2623748537
